sequence_no,time,latitude,longitude,ax,ay,az,baro_alt
349,176719,29.862978,77.892005,0.676,-0.101,0.736,0.17
350,177219,29.862947,77.892004,0.685,0.078,0.838,0.26
351,177719,29.862947,77.892004,0.609,0.061,0.882,-0.26
352,178219,29.862914,77.892013,0.619,0.148,0.824,-0.09
353,178719,29.862914,77.892013,0.583,0.084,0.785,0.17
354,179219,29.86288,77.892025,0.565,0.002,0.665,0.17
355,179719,29.86288,77.892025,0.527,0.049,0.683,0
356,180219,29.862853,77.892031,0.543,0.009,0.749,0.09
357,180719,29.862853,77.892031,0.576,0.042,0.735,0
358,181219,29.862817,77.892045,0.618,0.087,0.831,0
359,181719,29.862817,77.892045,0.646,0.063,0.824,0.35
360,182219,29.862787,77.892072,0.572,0.029,0.833,0.26
361,182719,29.862787,77.892072,0.646,0.033,0.962,0.09
362,183219,29.862765,77.892099,0.688,0.121,0.787,0
363,183719,29.862765,77.892099,0.513,-0.038,0.583,0.17
364,184219,29.86275,77.892128,0.722,0.091,0.875,0.35
365,184719,29.86275,77.892128,0.537,0.013,0.659,0.87
366,185219,29.862729,77.892154,0.619,0.122,0.823,-0.09
367,185719,29.862729,77.892154,0.522,-0.038,0.749,0.52
368,186219,29.862714,77.892179,0.631,-0.048,0.796,-0.09
369,186719,29.862714,77.892179,0.605,0.008,0.823,-0.09
370,187219,29.862704,77.8922,0.684,0.124,0.884,0.17
371,187719,29.862704,77.8922,0.652,0.078,0.861,-0.17
372,188219,29.862696,77.892219,0.631,0.016,0.791,0
373,188719,29.862696,77.892219,0.578,0.031,0.657,0.26
374,189219,29.862685,77.89224,0.562,-0.06,0.685,0.17
375,189719,29.862685,77.89224,0.563,-0.038,0.655,-0.17
376,190219,29.862674,77.892256,0.628,-0.064,0.72,-0.09
377,190719,29.862674,77.892256,0.618,0.031,0.782,0.17
378,191219,29.862666,77.89227,0.563,0.068,0.734,-0.17
379,191719,29.862666,77.89227,0.622,0.027,0.809,0.17
380,192219,29.862655,77.892295,0.573,0.053,0.762,0.26
381,192719,29.862655,77.892295,0.675,0.148,0.902,0.17
382,193219,29.86265,77.892334,0.604,-0.002,0.817,-0.09
383,193719,29.86265,77.892334,0.623,0.067,0.733,0.43
384,194219,29.862644,77.892372,0.75,0.039,0.918,-0.35
385,194719,29.862644,77.892372,0.639,-0.003,0.855,0.09
386,195219,29.862637,77.892415,0.75,0.041,0.902,-0.17
387,195719,29.862637,77.892415,0.582,0.137,0.701,0.09
388,196219,29.862641,77.892445,0.59,0.096,0.84,-0.09
389,196719,29.862641,77.892445,0.504,-0.062,0.616,0.17
390,197219,29.862641,77.892483,0.685,0.074,0.749,0.17
391,197719,29.862641,77.892483,0.718,0.14,0.911,-0.17
392,198219,29.862642,77.892514,0.636,0.023,1.008,0
393,198719,29.862642,77.892514,0.581,0.053,0.904,0.35
394,199219,29.86264,77.892553,0.677,0.035,0.673,0
395,199719,29.86264,77.892553,0.533,-0.077,0.749,0.09
396,200219,29.862641,77.892578,0.646,0.053,0.861,-0.52
397,200719,29.862641,77.892578,0.607,-0.051,0.765,0.09
398,201220,29.862638,77.892608,0.659,0.118,0.893,0
399,201719,29.862638,77.892608,0.571,-0.013,0.737,0.09
400,202220,29.862641,77.892649,0.559,0.043,0.748,0.35
401,202719,29.862641,77.892649,0.479,0.017,0.589,0
402,203220,29.862625,77.892671,0.441,0.049,0.64,0.26
403,203720,29.862625,77.892671,0.613,0.059,0.785,0.09
404,204220,29.862624,77.892703,0.89,0.096,1.197,0.26
405,204720,29.862624,77.892703,0.642,0.089,0.952,0.09
406,205219,29.862621,77.892748,0.65,0.121,0.828,0.26
407,205720,29.862621,77.892748,0.645,0.058,0.808,-0.26
408,206219,29.862622,77.892785,0.665,0.062,0.906,0
409,206719,29.862622,77.892785,0.712,-0.047,0.925,-0.17
410,207219,29.862614,77.892842,0.688,0.084,0.925,-0.17
411,207719,29.862614,77.892842,0.803,0.031,0.876,0.17
412,208219,29.862613,77.892883,0.616,-0.028,0.623,0.52
413,208719,29.862613,77.892883,0.573,0.058,0.641,-0.09
414,209219,29.86261,77.892912,0.6,0.089,0.741,0.26
415,209719,29.86261,77.892912,0.611,-0.071,0.8,0.17
416,210219,29.862607,77.892941,0.663,-0.002,0.775,1.04
417,210719,29.862607,77.892941,0.717,-0.033,0.884,0.69
418,211219,29.862609,77.892995,1.617,0.428,1.807,-0.78
419,211719,29.862609,77.892995,0.297,-0.072,0.241,1.04
420,212219,29.862605,77.893038,0.191,-0.092,0.316,0.69
421,212719,29.862605,77.893038,0.495,0.044,0.677,0.35
422,213219,29.862597,77.893087,0.531,0.02,0.752,0.52
423,213719,29.862597,77.893087,0.528,0.061,0.672,0.17
424,214219,29.862588,77.893133,0.541,0.031,0.792,0.52
425,214719,29.862588,77.893133,0.549,0.034,0.756,0.78
426,215219,29.862587,77.893175,0.565,0.073,0.713,0.52
